"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"EXC","Exelon",0.296405401551464,0.22283503951952,"2","Aggressive Growth"
"XEL","Xcel Energy",0.0382713694645094,0.231273613934489,"2","Aggressive Growth"
"MPWR","Monolithic Power Systems",0.432531007593575,0.716394564872134,"4","High Volatility / Speculative"
"TTWO","Take-Two Interactive",0.588504087669961,0.358008600073099,"3","Stable Yield"
"XYZ","Block, Inc.",-0.509316274522206,0.663970920838032,"1","Conservative / Defensive"
"CBRE","CBRE Group",0.1577275802685,0.344065138337709,"3","Stable Yield"
"DHI","D. R. Horton",-0.136308099532847,0.341021072670501,"2","Aggressive Growth"
"F","Ford Motor Company",0.244100871803013,0.352687455838265,"2","Aggressive Growth"
"PAYX","Paychex",0.102113751181391,0.285092909839347,"3","Stable Yield"
"AIG","American International Group",0.331938196422104,0.266066584229272,"2","Aggressive Growth"
"STX","Seagate Technology",1.06887656887758,0.50498863272814,"4","High Volatility / Speculative"
"GWW","W. W. Grainger",-0.00294098139922506,0.22783674927413,"3","Stable Yield"
"AMP","Ameriprise Financial",0.0147629537268397,0.344201692610494,"3","Stable Yield"
"KR","Kroger",0.305613303219076,0.279819291011948,"2","Aggressive Growth"
"WBD","Warner Bros. Discovery",0.150709105143154,0.603561052532277,"4","High Volatility / Speculative"
"BKR","Baker Hughes",-0.167953686038092,0.410788951320173,"1","Conservative / Defensive"
"OKE","ONEOK",-0.45926171886467,0.381274961875672,"1","Conservative / Defensive"
"CPRT","Copart",-0.286992307111484,0.279905712263537,"2","Aggressive Growth"
"ETR","Entergy",0.203012182543962,0.257845328600902,"2","Aggressive Growth"
"EW","Edwards Lifesciences",0.155303529089474,0.25912932882814,"2","Aggressive Growth"
"AME","Ametek",0.0304904294847426,0.250357728692848,"3","Stable Yield"
"CTVA","Corteva",0.582717649125908,0.276966012048337,"2","Aggressive Growth"
"CCI","Crown Castle",0.292717218700961,0.293005300226106,"2","Aggressive Growth"
"MSCI","MSCI",-0.0723579195385494,0.285602077862796,"3","Stable Yield"
"OXY","Occidental Petroleum",-0.354691211899034,0.433007801394223,"1","Conservative / Defensive"
"EBAY","eBay",0.372339995778289,0.325106013415836,"2","Aggressive Growth"
